country,year,animal_share_pct
Vietnam,1961,19.6
Vietnam,1970,18.1
Vietnam,1980,15.4
Vietnam,1990,21.1
Vietnam,2000,28.0
Vietnam,2005,33.8
Vietnam,2010,38.3
Vietnam,2013,38.1
Vietnam,2015,37.1
Vietnam,2018,37.9
Vietnam,2020,39.3
Vietnam,2023,42.3
China,1961,8.2
China,1970,11.1
China,1980,12.9
China,1990,20.4
China,2000,32.5
China,2005,36.0
China,2010,39.5
China,2013,39.9
China,2015,39.5
China,2018,39.0
China,2020,38.6
China,2023,41.1
Korea,1961,10.2
Korea,1970,10.9
Korea,1980,21.4
Korea,1990,32.4
Korea,2000,41.4
Korea,2005,44.0
Korea,2010,48.3
Korea,2013,49.2
Korea,2015,54.7
Korea,2018,56.3
Korea,2020,56.7
Korea,2023,57.2
Japan,1961,33.1
Japan,1970,44.2
Japan,1980,52.5
Japan,1990,57.0
Japan,2000,57.5
Japan,2005,56.4
Japan,2010,55.6
Japan,2013,55.2
Taiwan,1961,25.8
Taiwan,1970,30.5
Taiwan,1980,38.5
Taiwan,1990,46.5
Taiwan,2000,47.9
Taiwan,2005,47.6
Taiwan,2010,53.0
Taiwan,2013,52.8
Taiwan,2015,54.7
Taiwan,2018,54.2
Taiwan,2020,58.5
Taiwan,2023,57.4
Thailand,1961,27.0
Thailand,1970,32.9
Thailand,1980,30.9
Thailand,1990,38.6
Thailand,2000,39.6
Thailand,2005,39.6
Thailand,2010,39.8
Thailand,2013,42.4
Thailand,2015,40.8
Thailand,2018,42.2
Thailand,2020,40.5
Thailand,2023,39.6
Malaysia,1961,29.7
Malaysia,1970,32.7
Malaysia,1980,44.0
Malaysia,1990,54.8
Malaysia,2000,55.6
Malaysia,2005,53.8
Malaysia,2010,56.7
Malaysia,2013,58.5
Malaysia,2015,60.7
Malaysia,2018,59.1
Malaysia,2020,58.0
Malaysia,2023,58.6
Philippines,1961,37.0
Philippines,1970,44.6
Philippines,1980,38.0
Philippines,1990,39.1
Philippines,2000,41.1
Philippines,2005,40.5
Philippines,2010,43.5
Philippines,2013,41.4
Philippines,2015,41.9
Philippines,2018,41.6
Philippines,2020,37.9
Philippines,2023,36.9
Indonesia,1961,14.4
Indonesia,1970,14.8
Indonesia,1980,16.4
Indonesia,1990,19.5
Indonesia,2000,23.2
Indonesia,2005,25.4
Indonesia,2010,24.6
Indonesia,2013,27.1
Indonesia,2015,27.4
Indonesia,2018,31.4
Indonesia,2020,35.5
Indonesia,2023,38.5
