food,group,vnd_per_100g_protein
Dry soybeans,plant staple,14500
Tofu (household average paid),plant staple,19600
Tofu (supermarket),plant staple,30000
Hen eggs,"animal, mass",34300
Mung beans,plant staple,36900
Chicken thigh,"animal, mass",39000
Chicken breast,"animal, mass",44800
Pangasius fillet,"animal, mass",66700
Lean pork,"animal, mass",70900
Fresh UHT milk,"animal, mass",91900
Beef,"animal, premium",136700
Shrimp,"animal, premium",201300
Filled chay wrappers (audit median),chay and analogues,369000
Imported plant-based analogues (audit),chay and analogues,582000
