scenario,year,sbm_import_need_mt,vision_band_low_mt,vision_band_high_mt
S-BASE,2025,7.2,7.2,7.2
S-BASE,2030,8.46,7.8,8.3
S-BASE,2035,9.47,8.1,9.0
S-BASE,2040,9.95,7.8,9.2
S-BASE,2050,10.4,7.0,8.8
S-HIGH,2025,7.2,7.2,7.2
S-HIGH,2030,8.98,7.8,8.3
S-HIGH,2035,10.11,8.1,9.0
S-HIGH,2040,10.92,7.8,9.2
S-HIGH,2050,11.72,7.0,8.8
S-EFF,2025,7.2,7.2,7.2
S-EFF,2030,7.81,7.8,8.3
S-EFF,2035,8.08,8.1,9.0
S-EFF,2040,7.85,7.8,9.2
S-EFF,2050,7.0,7.0,8.8
S-ALT,2025,7.2,7.2,7.2
S-ALT,2030,8.32,7.8,8.3
S-ALT,2035,9.01,8.1,9.0
S-ALT,2040,9.15,7.8,9.2
S-ALT,2050,8.78,7.0,8.8
