product_type,n,med_price_100g,med_price_100g_protein,min_pp,max_pp
canned analog,2,24034.0,321103.0,223704.0,418502.0
dried TVP/soy chunks,4,39000.0,64584.0,48976.0,85053.0
dumpling/spring roll/bun with vegetable filling,18,11912.0,368798.0,155556.0,1727642.0
frozen meat/seafood analog,9,19000.0,278667.0,65990.0,621528.0
other,2,40303.0,447812.0,370370.0,525253.0
plant milk,8,8716.0,456250.0,91660.0,1444444.0
plant yogurt/creamer,6,10050.0,534210.0,510526.0,628125.0
protein powder,4,168950.0,359537.0,343029.0,365634.0
ready meal,3,12500.0,297619.0,290476.0,383333.0
tofu,5,3643.0,66265.0,39171.0,121053.0
vegan cheese/spread,2,77500.0,875797.0,859107.0,892487.0
