primary_family,canned analog,dried TVP/soy chunks,dumpling/spring roll/bun with vegetable filling,frozen meat/seafood analog,other,plant milk,plant yogurt/creamer,protein powder,ready meal,snack/jerky,tofu,vegan cheese/spread,total
cashew,0,0,0,0,0,0,0,0,0,0,0,7,7
chickpea,0,0,0,0,2,0,0,0,0,0,0,1,3
hemp,0,0,0,0,0,0,0,2,0,0,0,0,2
mung bean,0,0,19,0,0,0,0,0,0,0,0,0,19
mushroom,0,0,1,1,0,0,0,0,0,5,0,0,7
none,0,0,1,0,1,0,0,0,0,0,0,1,3
oat,0,0,0,0,0,16,3,0,0,0,0,0,19
other,0,0,1,0,0,0,0,0,0,0,0,0,1
other nuts,0,0,0,0,2,14,1,0,0,0,0,0,17
pea protein,0,0,0,0,0,2,3,2,0,0,0,0,7
rice/corn,0,0,1,0,2,2,0,0,3,0,0,0,8
soy protein/TVP/SPC/SPI,8,7,7,4,0,0,1,0,1,0,0,0,28
soybean/tofu/soy milk,1,0,1,2,0,14,0,0,0,0,8,0,26
unknown,0,0,7,8,0,3,0,0,0,0,0,0,18
wheat flour (dough/wrapper),0,0,9,0,2,0,0,0,2,0,0,0,13
wheat gluten,0,1,0,6,0,0,0,0,1,0,0,0,8
