school_week_id,school_en,province,school_group,meals_coded,lunches,dinners,breakfasts,main_meals_with_meat_fish_or_egg_dish,main_meals_little_or_no_animal_food,main_meals_without_meat,breakfasts_little_or_no_animal_food,breakfasts_no_animal_food,main_meals_with_tofu_or_legume,lunches_with_pork,textured_soy_or_mock_meat,source_ids,evidence_label,confidence,demand_evidence_type,notes
S01-2026-09-07,Muong Nhe PTDTBT lower secondary,Dien Bien,semi-boarding (PTDTBT),15,5,5,5,10,0,1,5,2,2,5,0,UPL-02,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S01-2026-09-14,Muong Nhe PTDTBT lower secondary,Dien Bien,semi-boarding (PTDTBT),15,5,5,5,10,0,1,5,2,2,5,0,UPL-02,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S01-2026-09-21,Muong Nhe PTDTBT lower secondary,Dien Bien,semi-boarding (PTDTBT),15,5,5,5,10,0,1,5,2,2,5,0,UPL-01,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S01-2026-05-18,Muong Nhe PTDTBT lower secondary,Dien Bien,semi-boarding (PTDTBT),16,5,5,6,10,0,0,6,2,2,5,0,UPL-03,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S01-2026-03-23,Muong Nhe PTDTBT lower secondary,Dien Bien,semi-boarding (PTDTBT),18,6,6,6,12,0,1,6,2,3,6,0,UPL-03,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S02-2026-03-02,Na Tong No. 2 PTDTBT primary,Dien Bien,semi-boarding (PTDTBT),15,5,5,5,10,0,0,2,0,3,5,0,UPL-05,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S02-2026-03-09,Na Tong No. 2 PTDTBT primary,Dien Bien,semi-boarding (PTDTBT),15,5,5,5,10,0,0,2,0,3,5,0,UPL-05,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S03-2026-01-12,Muong Anh PTDTBT primary,Dien Bien,semi-boarding (PTDTBT),15,5,5,5,10,0,3,3,0,0,3,0,UPL-06,VN-direct,High,revealed,menu plan; single week or template
S04-2026-01-B,Leng Su Sin PTDTBT primary,Dien Bien,semi-boarding (PTDTBT),14,5,4,5,9,0,1,5,1,3,5,0,UPL-07,VN-direct,High,revealed,menu plan; single week or template
S04-2026-01-NE,Leng Su Sin PTDTBT primary,Dien Bien,semi-boarding (PTDTBT),4,4,0,0,4,0,2,0,0,2,2,0,UPL-08,VN-direct,High,revealed,menu plan; single week or template
S05-2026-03-02,Leng Su Sin PTDTBT lower secondary,Dien Bien,semi-boarding (PTDTBT),16,5,5,6,10,0,0,6,6,3,5,0,UPL-09,VN-direct,High,revealed,menu plan; single week or template
S06-2026-01-05,Sen Thuong PTDTBT primary and lower secondary,Dien Bien,semi-boarding (PTDTBT),14,5,4,5,9,0,1,5,5,6,4,0,UPL-10,VN-direct,High,revealed,menu plan; single week or template
S07-2026-09-07,Ta Ngao PTDTBT lower secondary,Lai Chau,semi-boarding (PTDTBT),21,7,7,7,14,0,5,7,7,2,5,0,UPL-11,VN-direct,High,revealed,menu plan; single week or template
S08-2026-02-T,Hong Thu PTDTBT primary,Lai Chau,semi-boarding (PTDTBT),15,5,5,5,10,0,0,2,2,7,4,0,UPL-12,VN-direct,High,revealed,menu plan; single week or template
S09-2026-04-T,Nam Han PTDTBT lower secondary,Lai Chau,semi-boarding (PTDTBT),21,7,7,7,14,0,0,7,7,3,4,0,UPL-13,VN-direct,High,revealed,menu plan; single week or template
S10-2026-04-06,Muong Do PTDTBT primary and lower secondary,Son La,semi-boarding (PTDTBT),14,5,5,4,9,1,1,4,0,1,3,0,UPL-14,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S10-2026-04-13,Muong Do PTDTBT primary and lower secondary,Son La,semi-boarding (PTDTBT),14,5,5,4,9,1,1,4,0,1,3,0,UPL-14,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S11-2026-01-12,Cao Bang provincial PTDTNT,Cao Bang,full boarding (PTDTNT),20,7,7,6,14,0,0,4,0,5,7,0,UPL-15,VN-direct,High,revealed,menu plan; single week or template
S11-2026-01-26,Cao Bang provincial PTDTNT,Cao Bang,full boarding (PTDTNT),20,7,7,6,14,0,0,3,0,5,6,0,UPL-15,VN-direct,High,revealed,menu plan; single week or template
S12-2026-09-07,Mang Den PTDTNT upper secondary,"Quang Ngai (former Kon Tum, Central Highlands)",full boarding (PTDTNT),21,7,7,7,14,0,3,7,0,0,5,0,UPL-16,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S12-2026-09-14,Mang Den PTDTNT upper secondary,"Quang Ngai (former Kon Tum, Central Highlands)",full boarding (PTDTNT),21,7,7,7,14,0,3,7,0,0,5,0,UPL-16,VN-direct,High,revealed,menu plan; fixed weekly cycle repeated
S13-2026-09-14,Na Hy PTDTNT upper secondary,Dien Bien,full boarding (PTDTNT),14,7,7,0,14,0,1,0,0,3,5,0,UPL-17,VN-direct,High,revealed,menu plan; single week or template
